PropertyAddress,MoveOut,MoveIn
2718 Omah,11/28/2016,1/29/2017
2020-B Englewood,11/30/2016,1/1/2017
904 Rome Ave,12/31/2016,1/6/2017
2607 Shenandoah,12/31/2016,1/20/2017
300 W Lavender,12/31/2016,3/13/2017
3619 C View,1/5/2017,2/1/2017
213 Northwoods,1/6/2017,5/19/2017
1008 Hale St,1/14/2017,1/15/2017
1002 Hale St,1/15/2017,2/1/2017
810-A Gerard St,1/15/2017,4/1/2017
911-A Rome,1/27/2017,1/27/2017
1406-D Markham,1/31/2017,2/1/2017
1006-A Clarendon,1/31/2017,2/1/2017
407 Sapphire,1/31/2017,2/10/2017
6480 Guess Rd,1/31/2017,2/20/2017
5 Drummond,1/31/2017,2/24/2017
410 W Hill,1/31/2017,3/1/2017
2113-B Peppertree,1/31/2017,3/10/2017
1605-B W Club,1/31/2017,3/13/2017
1318-A Marne Ave,1/31/2017,5/4/2017
1006-B Clarendon,2/16/2017,2/17/2017
1015-B Clarendon,2/17/2017,4/1/2017
914-1 Monmouth ,2/28/2017,3/6/2017
1003-B Broad,2/28/2017,3/15/2017
409 Newsom St,2/28/2017,3/15/2017
2105-3 Lafayette,2/28/2017,4/15/2017
21 Signet,2/28/2017,4/15/2017
1011-4 Morreene,2/28/2017,4/29/2017
922-B Hale St,3/23/2017,3/24/2017
8 Fashion Place,3/24/2017,3/29/2017
920-A Hale St,3/27/2017,5/1/2017
919 Buchanan Back,3/31/2017,7/1/2017
4214-A Oran,3/31/2017,7/1/2017
1505 Clermont,3/31/2017,7/14/2017
2211-B Knox,4/9/2017,4/10/2017
635B W Club,4/15/2017,8/21/2017
906 Hale,4/24/2017,5/12/2017
5 Rosemeade,4/24/2017,5/12/2017
120 Newell,4/24/2017,5/20/2017
2728 Holloway St,4/30/2017,1/1/2017
1019-B Ninth,4/30/2017,5/1/2017
909-B Rome,4/30/2017,5/6/2017
108 W Club,4/30/2017,5/10/2017
1011-18 Morreene,4/30/2017,5/15/2017
1007.5 Rosehill ,4/30/2017,5/16/2017
506 Trinity,4/30/2017,5/25/2017
15 Hawthorne,4/30/2017,6/1/2017
910 Arnette DOWN,4/30/2017,7/1/2017
1318-D Marne,4/30/2017,7/1/2017
924-A Alabama,4/30/2017,7/28/2017
1209-A Sedgefield ,5/5/2017,5/19/2017
109 W Main St,5/6/2017,5/19/2017
1013-2 Ninth,5/15/2017,8/10/2017
1013-1 Ninth,5/19/2017,6/1/2017
1826 Hideaway Lane,5/31/2017,1/1/2017
901 Washington,5/31/2017,1/1/2017
11 Woodward,5/31/2017,1/1/2017
2302 Pleasant Gree,5/31/2017,1/1/2017
910-B Ninth,5/31/2017,6/1/2017
1007 Ninth,5/31/2017,6/1/2017
913 Hale St,5/31/2017,6/1/2017
1700-Down W Markham,5/31/2017,6/1/2017
1406-D Markham,5/31/2017,6/1/2017
5 Drummond,5/31/2017,6/9/2017
1603-B W Club,5/31/2017,6/14/2017
2209 W Knox,5/31/2017,6/14/2017
2635 Chapel Hill,5/31/2017,6/15/2017
1021 Carolina,5/31/2017,6/15/2017
801-B Green,5/31/2017,6/15/2017
100-B W Club,5/31/2017,6/15/2017
1331 Hamlin,5/31/2017,6/15/2017
2718 Highland,5/31/2017,6/15/2017
5114 Long Leaf,5/31/2017,6/23/2017
912 Rome Ave,5/31/2017,6/25/2017
904 Rome Ave,5/31/2017,6/27/2017
835-A Wilkerson,5/31/2017,6/29/2017
1015-1 Ninth,5/31/2017,7/1/2017
1322-C Marne,5/31/2017,7/1/2017
116-B Edgewood,5/31/2017,7/1/2017
923-B Iredell,5/31/2017,7/1/2017
913-A Rosehill,5/31/2017,7/3/2017
705 Lakewood,5/31/2017,7/8/2017
908-B Rosehill,5/31/2017,7/10/2017
2908 Elgin ,5/31/2017,7/13/2017
4 Porter Circle,5/31/2017,7/15/2017
1011-3 Ninth,5/31/2017,7/15/2017
913-B Rosehill,5/31/2017,7/15/2017
1011 Green ,5/31/2017,7/21/2017
2631 Lawndale,5/31/2017,7/24/2017
8 Porter Circle,5/31/2017,8/25/2017
1015-3 Ninth,5/31/2017,1/1/2018
5302 Big Fork ,5/31/2017,
3719 Kenmore,6/1/2017,6/19/2017
2605 Glendale,6/5/2017,6/15/2017
1007 Edith,6/5/2017,6/30/2017
13 Virginia Dare,6/10/2017,7/1/2017
1020 Ninth,6/10/2017,8/1/2017
1011-29 Morreene,6/11/2017,8/11/2017
1011-A Buchanan,6/15/2017,6/25/2017
822 Saratoga,6/17/2017,1/1/2017
3503 Cole Mill,6/17/2017,7/1/2017
911-B Iredell,6/18/2017,6/19/2017
1604 W Club,6/22/2017,6/30/2017
1008 Virgie,6/27/2017,6/28/2017
704 W Knox,6/30/2017,1/1/2017
2215 Shoreham,6/30/2017,1/1/2017
1704 W Markham,6/30/2017,7/1/2017
910-A Ninth,6/30/2017,7/1/2017
908-A Rosehill,6/30/2017,7/1/2017
1018 Ninth,6/30/2017,7/14/2017
1919 Ruffin St,6/30/2017,7/14/2017
1927-B Ward,6/30/2017,7/14/2017
713 W Knox,6/30/2017,7/14/2017
2704 Highland,6/30/2017,7/14/2017
913-B Rosehill,6/30/2017,7/14/2017
1012-B Ninth St,6/30/2017,7/15/2017
2210 W Knox,6/30/2017,7/15/2017
202 e Maynard,6/30/2017,7/15/2017
1209-B Sedgefield,6/30/2017,7/15/2017
44 Justin,6/30/2017,7/15/2017
3707 Crabtree,6/30/2017,7/15/2017
1216 Broad Down,6/30/2017,7/22/2017
1309 Norton,6/30/2017,7/24/2017
