PropertyAddress,MoveOut,MoveIn
1011-21 Morreene,6/30/2017,7/27/2017
1011-1 Ninth,6/30/2017,7/31/2017
2504 Green,6/30/2017,8/1/2017
4609 Jimmy Rogers,6/30/2017,8/1/2017
819 Burch,6/30/2017,8/11/2017
1726 Vista,6/30/2017,8/11/2017
1713 Avondale,6/30/2017,8/15/2017
207-B Bridgefield,6/30/2017,8/18/2017
2516 Banner ST,6/30/2017,9/1/2017
2105-4 LaFayette,6/30/2017,9/15/2017
1714 Roxboro,7/2/2017,7/14/2017
1201-2 N Elizabeth,7/5/2017,7/21/2017
914-2 Monmouth,7/5/2017,10/13/2017
2501-A Chapel Hill,7/6/2017,8/10/2017
3903 Olde Coach,7/15/2017,7/28/2017
905-B Virgie,7/23/2017,7/29/2017
1406-B W Markham,7/24/2017,8/1/2017
1708-B Englewood,7/24/2017,8/31/2017
1002 Trinity,7/31/2017,8/4/2017
1222 Nicklaus,7/31/2017,8/7/2017
915-A Buchanan,7/31/2017,8/9/2017
104-A W Club,7/31/2017,8/9/2017
1011-30 Morreene,7/31/2017,8/10/2017
2208 W Knox,7/31/2017,8/11/2017
1006-A Clarendon,7/31/2017,8/11/2017
4100 Five Oaks #54,7/31/2017,8/11/2017
23 Kingsmount,7/31/2017,8/11/2017
1710 Roxboro,7/31/2017,8/11/2017
2025 Pershing ,7/31/2017,8/11/2017
2034 Englewood,7/31/2017,8/11/2017
922-A Hale ST,7/31/2017,8/11/2017
1022 Ninth,7/31/2017,8/11/2017
325 Old Fox,7/31/2017,8/11/2017
911-A Clarendon,7/31/2017,8/12/2017
924 Carolina,7/31/2017,8/14/2017
915-B Buchanan,7/31/2017,8/15/2017
416-A Edward ST,7/31/2017,8/17/2017
2401 W Knox,7/31/2017,8/17/2017
1011-32 Morreene,7/31/2017,8/17/2017
1216-Up Broad,7/31/2017,8/18/2017
1013-B Rosehill,7/31/2017,8/18/2017
1116-A Ninth,7/31/2017,8/19/2017
2200-A Caroline,7/31/2017,8/19/2017
907-B Rome,7/31/2017,8/19/2017
2409 Barrymore,7/31/2017,8/24/2017
2306 W Knox,7/31/2017,8/25/2017
906 W Murray,7/31/2017,8/26/2017
1001 Edith,7/31/2017,8/27/2017
116-A Edgewood,7/31/2017,8/28/2017
1001 Urban Ave,7/31/2017,8/31/2017
3019 Banner,7/31/2017,9/1/2017
904-A Virgie,7/31/2017,9/12/2017
112 Mt. Evans,7/31/2017,9/15/2017
17-B Alamo,7/31/2017,9/15/2017
1318-C Marne Ave,7/31/2017,10/4/2017
914-1 Monmouth ,7/31/2017,11/1/2017
8 Lure Court,7/31/2017,11/20/2017
1606 Maryland,8/7/2017,8/15/2017
1814 Albany St,8/16/2017,1/1/2017
1015-2 Ninth ,8/17/2017,8/25/2017
803-D Lancaster,8/24/2017,8/25/2017
2113 Englewood Up,8/31/2017,8/31/2017
914 Hale,8/31/2017,9/1/2017
116 1/2 Edgewood,8/31/2017,9/10/2017
723 Carter St,8/31/2017,9/22/2017
1004-B Clarendon,8/31/2017,9/23/2017
1001 Eno St,8/31/2017,10/19/2017
1011-20 Morreene,8/31/2017,11/1/2017
710 Soft Tree,8/31/2017,11/1/2017
4609 Jimmy Rogers,9/1/2017,1/1/2017
1109-A Georgia Ave,9/10/2017,1/1/2017
1003-A Broad,9/10/2017,9/11/2017
1002-A clarendon,9/22/2017,9/23/2017
913-B Edith St,9/29/2017,9/30/2017
18 Fashion Place,9/30/2017,1/1/2017
2409 Barrymore,9/30/2017,1/1/2017
1011-11 Morreene,9/30/2017,10/1/2017
1011-10 Morreene Rd,9/30/2017,11/12/2017
1010-A Clarendon,9/30/2017,11/20/2017
23 Kingsmount,9/30/2017,12/15/2017
2720 Thoreau,9/30/2017,
213-A Bridgefield,10/2/2017,11/15/2017
1400 Ruffin,10/13/2017,10/14/2017
1426 Hudson,10/22/2017,11/11/2017
4605 Reigel Wood,10/31/2017,1/1/2017
108-B W Club,10/31/2017,11/1/2017
1004-A Clarendon,10/31/2017,11/1/2017
909-A Rosehill,10/31/2017,11/1/2017
1201-1 N Elizabeth,10/31/2017,11/10/2017
1310-B Marne,10/31/2017,12/1/2017
1925 Raj,10/31/2017,12/16/2017
2113-Down Englewood,10/31/2017,1/5/2018
1326-D Marne,10/31/2017,
905 Carolina,11/8/2017,11/9/2017
1326-C Marne,11/10/2017,
2501 Farthing,11/19/2017,
1011-23 Morreene,11/28/2017,12/18/2017
2515 Wilbon,11/30/2017,12/1/2017
911-B Rome,11/30/2017,12/11/2017
1010 Virgie,11/30/2017,12/15/2017
4100 Five Oaks #54,11/30/2017,
1109 Arnette,12/3/2017,12/4/2017
2105-2 LaFayette,12/5/2017,12/18/2017
4216 Alston,12/5/2017,
1009 Edith,12/11/2017,12/12/2017
1006-B Clarendon,12/14/2017,12/15/2017
920-B hale St,12/16/2017,12/17/2017
1013-2 Ninth,12/21/2017,
1800-A N. Alston Ave,12/22/2017,12/23/2017
117-B Maynard,12/31/2017,1/1/2018
210 Brassy Creek,12/31/2017,
1011-16 Morreene,12/31/2017,
218 Walsenburg,12/31/2017,
2105-3 Lafayette,1/1/2018,
12 Riverwalk,1/15/2018,
2806 Farthing,1/19/2018,
908-B Onslow,1/31/2018,2/9/2018
810-A Gerard St,1/31/2018,
313 E Trinity,1/31/2018,
819 Burch,1/31/2018,
421 Harkness,N/A,1/1/2017
5492 Montgomery Pl,N/A,1/1/2017
2801 Butner St,N/A,1/1/2017
918 Cinnamon,N/A,1/1/2017
1002-B Monmouth,N/A,1/27/2017
1104 Moreland,N/A,2/13/2017
1003 Eno St,N/A,2/15/2017
16 Chownings,N/A,2/22/2017
1800-B N Alston,N/A,3/1/2017
86 Stone Hill,N/A,3/31/2017
15 Moss Grove,N/A,4/1/2017
2408 McGehee,N/A,4/17/2017
2602 E Geer St,N/A,5/1/2017
1139 Searstone,N/A,5/31/2017
911-B Rosehill,N/A,6/1/2017
3205 Hope Valley,N/A,6/1/2017
1304 Cozart,N/A,6/15/2017
2308 Albany,N/A,7/1/2017
2637 Camellia,N/A,7/1/2017
1110 Watts,N/A,7/15/2017
710 W Club,N/A,7/29/2017
37 Forest Green,N/A,7/29/2017
1001 Iredell St,N/A,8/5/2017
2608 Erwin Rd #140,N/A,8/12/2017
1832 Forest,N/A,8/15/2017
500 N Duke 55-105,N/A,8/31/2017
992 Stoney Mountain,N/A,9/1/2017
708 W Club,N/A,9/1/2017
6205 Mt Hermon Church,N/A,9/1/2017
824-A Green St,N/A,10/2/2017
311 Swift ,N/A,11/1/2017
822-B Green St,N/A,11/4/2017
822-A Green St,N/A,11/5/2017
2833 Duke Homestead,N/A,11/6/2017
2012 Stadium Dr,N/A,12/8/2017
5490 Arthur Minnis,N/A,1/1/2018
7115 Matthews,N/A,1/15/2018
3814 Pendergrass,N/A,
2708 Lawndale,N/A,
2708-A Lawndale,N/A,
405 W Carver,N/A,
2707 Lawndale,??,4/1/2017
