PropertyAddress,MoveOut,MoveIn
313 E Trinity,1/31/18,
4214-B Alston,2/28/18,5/17/19
711-B W Knox,6/30/18,2/6/19
1110 Watts,6/30/18,6/1/19
824-B Green,6/30/18,
1019 Green St,7/31/18,2/22/19
709 Bolton,10/31/18,2/23/19
4218 Alston,10/31/18,5/20/19
810 Rosehill,11/1/18,
824-A Green,12/10/18,1/15/19
3614 Wishart St,12/14/18,12/15/18
922B Hale St,12/18/18,12/19/18
2008 Englewood,12/18/18,12/27/18
1002-A Clarendon,12/20/18,1/11/19
1402 Lakewood,12/31/18,1/1/19
1011-21 Morreene,12/31/18,1/4/19
635B W Club,12/31/18,1/30/19
2703 Lawndale,12/31/18,4/25/19
1315-C Ripley,12/31/18,4/29/19
109 W Main,1/2/19,
1708-A Englewood,1/31/19,1/15/19
3313 Spector,1/31/19,2/22/19
1011-21 Morreene,2/1/19,
2306 W Knox,2/2/19,2/1/19
905-B Virgie,2/2/19,2/8/19
723 Carter St,2/6/19,
1604 Cheshire Bridge,2/15/19,
407 Sapphire,2/21/19,3/1/19
1011-14 Morreene,2/28/19,3/1/19
1011-2 Morreene Rd,2/28/19,4/1/19
335 Shannon Ct,2/28/19,4/1/19
2823-A Broad St,2/28/19,4/11/19
1007.5 Rosehill,3/6/19,3/7/19
911-B Rome Ave,3/6/19,5/31/19
903-back Iredell,3/21/19,
1003 Eno St,3/31/19,4/9/19
2806 Shenandoah,3/31/19,5/10/19
2200-B Caroline,3/31/19,6/14/19
2113-B Peppertree,3/31/19,6/14/19
3 colingdale,3/31/19,
1109 Arnette,4/1/19,4/12/19
908-A Rosehill,4/13/19,5/1/19
922B Hale St,4/19/19,4/20/19
4216 S Alston,4/30/19,5/10/19
906  Murray Ave,4/30/19,5/15/19
1007 Rosehill,4/30/19,5/18/19
920-A Hale,4/30/19,5/22/19
905 Carolina,4/30/19,5/31/19
2718 Omah St,4/30/19,6/4/19
1011-17 Moreene,4/30/19,6/22/19
774 Durham,4/30/19,6/24/19
116 Student Place,4/30/19,
2204-B Caroline,4/30/19,
819 Nancy,4/30/19,
201 Albemarle,4/30/19,
2208 W Knox,5/1/19,5/17/19
805 Glendale,5/10/19,7/1/19
1605-A W Club Blvd,5/15/19,5/16/19
13 Virginia Dare,5/15/19,5/16/19
920-B Hale,5/15/19,5/20/19
2708-A lawndale,5/15/19,5/24/19
915-B Buchanan,5/15/19,6/15/19
904-A Virgie St,5/20/19,6/6/19
1004-A Clarendon,5/22/19,
908-B Rosehill,5/25/19,6/1/19
1603-B W Club,5/28/19,5/29/19
917 Hale,5/31/19,6/1/19
1018 Ninth ,5/31/19,6/1/19
1015-2 Ninth,5/31/19,6/1/19
1704 W Markham,5/31/19,6/1/19
1604 W Club,5/31/19,6/1/19
1007 Ninth,5/31/19,6/1/19
1011-4 Moreene,5/31/19,6/4/19
1010 Virgie St,5/31/19,6/7/19
910-A Ninth,5/31/19,6/7/19
910-B Ninth,5/31/19,6/7/19
4212-B S Alston,5/31/19,6/8/19
60 Justin,5/31/19,6/10/19
1606 Maryland,5/31/19,6/14/19
1705 James St,5/31/19,6/14/19
2700 Lawndale,5/31/19,6/14/19
2025 Pershing ST,5/31/19,6/14/19
822-A Green St,5/31/19,6/14/19
100-A W Club,5/31/19,6/14/19
120 Newell St,5/31/19,6/14/19
1001 Iredell,5/31/19,6/15/19
1013-2 Ninth ,5/31/19,6/15/19
4100 Five Oaks,5/31/19,6/15/19
1011-23 Morreene,5/31/19,6/15/19
806-D Rosehill,5/31/19,6/20/19
1011-18 Moreene,5/31/19,6/22/19
1011-10 Morreene,5/31/19,6/22/19
5 Drummond,5/31/19,6/22/19
1016 Minerva Ave,5/31/19,6/25/19
1139 Searstone,5/31/19,6/26/19
1011-22 Morreene,5/31/19,6/28/19
1331 Hamlin,5/31/19,6/28/19
913-A Rosehill,5/31/19,6/28/19
911-A Rosehill,5/31/19,6/29/19
1902 James,5/31/19,6/29/19
1002 Trinity Ave,5/31/19,7/1/19
914 Ninth,5/31/19,7/1/19
1011-3 Ninth,5/31/19,7/1/19
904 Rome,5/31/19,7/1/19
2629 Lawndale,5/31/19,7/1/19
911-B Rosehill Ave,5/31/19,7/15/19
2631 Lawndale,5/31/19,7/15/19
1019-A Ninth,5/31/19,7/24/19
100-B W Club,5/31/19,
823 Saratoga,5/31/19,
2635 Chapel Hill,5/31/19,
2105-4 LaFayette,5/31/19,
1412-A Broad St,5/31/19,
803-B Lancaster,5/31/19,
1802-A Alston,5/31/19,
1001 Urban,5/31/19,
1013-1 Ninth St,5/31/19,
905-B Virgie,5/31/19,
1012-A Ninth,5/31/19,
2613 Chapel Hill,6/5/19,7/1/19
2704 Highland Ave,6/5/19,
1315-B Ripley,6/15/19,
924-A Alabama,6/15/19,
117-A Maynard,6/27/19,7/6/19
913-A Edith,6/30/19,7/10/19
3707 Crabtree,6/30/19,7/12/19
4426 Ryan St,6/30/19,7/12/19
2308 Albany ,6/30/19,7/13/19
908 Hale ,6/30/19,7/13/19
1123 Iredell,6/30/19,7/15/19
1209-B Sedgefield,6/30/19,7/15/19
4721 High Meadow,6/30/19,7/15/19
2126 Sprunt,6/30/19,7/15/19
2405 Huron ,6/30/19,7/15/19
1015-A Clarendon,6/30/19,7/15/19
919-back N. Buchanan,6/30/19,7/24/19
907-A Rome,6/30/19,7/26/19
1010-B Ninth,6/30/19,8/1/19
116-A E Edgewood,6/30/19,8/1/19
3503 Cole Mill,6/30/19,
136 Hollyhock,6/30/19,
4721 High Meadow,6/30/19,
2908 Elgin St,6/30/19,
635-B W club,6/30/19,
2637 Camelia,6/30/19,
713 W Knox,6/30/19,
916 Rome ,6/30/19,
913-B Rosehill Ave,7/1/19,7/26/19
410 W Hill,7/6/19,7/7/19
1216 Broad down,7/7/19,
1315-A Ripley,7/15/19,7/19/19
117-B Maynard,7/15/19,7/25/19
1012-B Ninth St,7/15/19,7/27/19
1011-12 Morreene,7/15/19,
3920 Cole Mill,7/28/19,
2707 Lawndale,7/31/19,8/1/19
710 W Club,7/31/19,8/10/19
907-B Rome Ave,7/31/19,8/10/19
1209-A Sedgefield,7/31/19,8/11/19
1209-A Sedgefield,7/31/19,8/11/19
9435 Oglebay,7/31/19,
1001 Edith,7/31/19,
914-4 Monmouth,7/31/19,
1222 Nicklaus,7/31/19,
3614 Wishart St,7/31/19,
133 Cornwallis,7/31/19,
17-A Alamo Ct,7/31/19,
1832 Forest Green,7/31/19,
1603-A W Club,7/31/19,
913-B Iredell,7/31/19,
915-A Buchanan,7/31/19,
912 Arnette,7/31/19,
102 W Club,7/31/19,
1008 Hale,7/31/19,
2008 Englewood,7/31/19,
4113 Converse,7/31/19,
1309 Norton,8/7/19,8/8/19
300 W Lavender,8/7/19,
300 W Lavender,8/7/19,
1113 Ninth,8/15/19,8/23/19
810-A Gerard,8/16/19,
1011-B N Buchanan,8/20/19,8/23/19
104 Hammond,?,?
2823-B Broad St,N/A,2/1/19
2145 Winkler,N/A,2/1/19
406 Auburn,N/A,2/7/19
3307 N Duke,N/A,3/15/19
2421-A Camellia Dr,N/A,3/19/19
5728 Greenbay Dr,N/A,3/23/19
215 Hargrove,N/A,4/1/19
1714 Roxboro,N/A,4/15/19
2815 State St,N/A,4/23/19
806-B Rosehill,N/A,5/1/19
216 Basset Hall,N/A,5/1/19
46 Redbud,N/A,6/1/19
772 Durham,N/A,6/14/19
410 Newsom,N/A,6/20/19
12529 Norwood,N/A,6/29/19
132 Blue Crest,N/A,7/1/19
11 Sugar Creek,N/A,7/1/19
1002-B Monmouth,N/A,8/20/19
1503 Virginia Ave,N/A,
907 Hale,N/A,
6205 Mt Hermon ,N/A,
2801 Butner St,N/A,
216 W Trinity,N/A,
909A Rosehill,7/31/19,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
