PropertyAddress,MoveOut,MoveIn
312 N Buchanan #206,07/31/15,8/21/15
29 Edgebrook,07/31/15,10/31/15
1012-A Ninth,07/31/15,11/15/15
848 Estes,08/03/15,8/21/15
2034 Englewood,08/07/15,8/14/15
913-B Iredell,08/07/15,8/15/15
1104 Fiske,08/07/15,10/28/15
15 Hawthorne,08/15/15,9/1/15
4214-C Oran,08/15/15,11/13/15
4419B American Dr,08/16/15,8/24/15
312-103 N Buchanan,08/17/15,9/1/15
1004-B Clarendon,08/20/15,8/27/15
8132 Oxford Rd,08/27/15,10/28/15
1010 Virgie,08/29/15,9/19/15
911-B Rome,08/30/15,9/25/15
1011-8 Morreene,08/31/15,9/1/15
107 E Club,08/31/15,9/2/15
1011-27 Morreene,08/31/15,9/8/15
70 Candytuff,08/31/15,9/9/15
3503 Cole Mill,08/31/15,9/26/15
1310A Marne,08/31/15,10/14/15
1331 Hamlin,08/31/15,10/26/15
2302 Pleasant Green,08/31/15,11/13/15
911-A Iredell,08/31/15,1/22/16
3614 Wishart,09/10/15,9/15/15
312-307 Buchanan,09/17/15,
903 N Duke,09/19/15,9/22/15
2209 W Knox,09/30/15,10/15/15
4205B Delbert,09/30/15,
636-B w Club B,10/01/15,10/31/15
1113-3 Camden,10/01/15,
207 B Bridgefield,10/15/15,11/7/15
1116 Ninth st,10/16/15,10/28/15
204-3 E Markham,10/22/15,10/23/15
1403 Georgia,10/31/15,12/26/15
201 down Albemarle,10/31/15,
1011-24 Morreene,11/01/15,11/6/15
1326-B Marne,11/02/15,12/17/16
1318-D Marne,11/02/15,
312-303 N Buchanan,11/30/15,12/5/15
1008 Lynn Rd,11/30/15,12/7/15
5818-A Miami,12/02/15,
1022 Ninth,12/04/15,12/4/15
1021-A Carolina,12/11/15,1/8/16
4721 High Meadow,12/22/15,12/23/15
116A Edgewood,12/23/15,
1011-1 Morreene,12/31/15,1/8/16
810B Gerard,12/31/15,1/14/16
2208 W Knox,12/31/15,1/15/16
5500 Fortunes Ridge #100,12/31/15,1/15/16
3619 C View,12/31/15,
730 Rutherford,12/31/15,
1015-3 Ninth,12/31/15,
4214-B Oran Ave,12/31/15,
409 Newsom,12/31/15,
914-3 Monmouth,01/08/16,1/9/16
312-405 Buchanan,01/08/16,
2333 Glendale,01/11/16,
1004 Virgie,01/12/16,1/22/16
914 Hale,01/15/16,1/22/16
312-104 Buchanan,01/31/16,
201 up Albemarle,01/31/16,
1406-A W Markham,01/31/16,
4418 Talcott,01/31/16,
1830 James,01/31/16,
2716 Shaftsbury St,01/31/16,
1003B Broad,01/31/16,
706 E Ellerbee,03/31/16,
913-B Edith,?,2/1/15
1011-2 Morreene,????,
414 Clayton,N/A,1/21/15
1716 James,N/A,1/23/15
1003-B Broad,N/A,1/29/15
312-304 Buchanan,N/A,1/31/15
8 Porter Circle,N/A,2/1/15
5018-A Green Oak,N/A,2/1/15
4418 Talcott,N/A,2/5/15
