PropertyAddress,MoveOut,MoveIn
1700 W Markham Ave UP,7/31/2014,8/1/2014
4712 Miller,7/31/2014,8/1/2014
1015-2 Ninth ,7/31/2014,
1008 Virgie,8/3/2014,8/4/2014
1011-2 Ninth,8/5/2014,
1326-D Marne,8/11/2014,10/1/2014
1011 Morreene #27,8/15/2014,9/4/2019
1012 Ninth #B,8/15/2014,8/22/2014
1113-3 Camden,8/18/2014,9/11/2014
2611 N Roxboro Rd Back,8/31/2014,10/1/2014
5812 Forest Ridge,8/31/2014,10/1/2014
911A Rome,8/31/2014,9/22/2014
2113B Peppertree,8/31/2014,9/15/2014
1011 Morreene Rd #17,8/31/2014,9/11/2014
8 Toms Rock,8/31/2014,
2008 Englewood,9/12/2014,9/13/2014
3211-A Alabama,9/16/2014,10/16/2014
522 Andover,9/18/2014,11/21/2014
1310-C Marne,9/24/2014,11/1/2014
1202 Orchard Oriole,9/30/2014,12/1/2014
216 Basset Hall Dr,9/30/2014,11/26/2014
2507 Carver,9/30/2014,11/3/2014
2707 Cammie St,9/30/2014,10/10/2014
2504 Green,9/30/2014,10/1/2014
407 Sapphire,10/2/2014,1/16/2015
407 Sapphire,10/2/2014,1/16/2015
1406 B W Markham,10/2/2014,10/3/2014
8716 Quail Roost Rd,10/14/2014,3/13/2015
8716 Quail Roost Rd,10/14/2014,
5 Patriot Cir,10/15/2014,11/3/2014
2316 Broad St,10/20/2014,12/24/2014
5 Rosemeade Pl,10/24/2014,5/1/2015
5 Rosemeade Pl,10/24/2014,
2025 Pershing,10/31/2014,10/31/2014
1714 Roxboro,11/17/2014,1/1/2025
1714 Roxboro,11/17/2014,8/1/2015
2716 Shaftsbury St,11/25/2014,2/15/2015
2716 Shaftsbury St,11/25/2014,2/15/2015
1011-25 Morreene,11/30/2014,12/15/2014
1326-D Marne,11/30/2014,12/15/2014
1011-17 Morreene,12/1/2014,12/5/2014
4306 Rocky Spring,12/1/2014,12/2/2014
1013B Rosehill,12/4/2014,12/19/2014
913-B Iredell,12/8/2014,12/12/2014
2105-3 Layfette,12/15/2014,1/23/2015
2105-3 Layfette,12/15/2014,
913-B Rosehill,12/19/2014,6/1/2015
913-B Rosehill,12/19/2014,
1600A W. Club,12/31/2014,2/20/2015
911-B Rome,12/31/2014,2/6/2015
911-B Rome,12/31/2014,2/1/2015
1011-19 Morreene,12/31/2014,1/8/2015
1011-19 Morreene,12/31/2014,1/8/2015
1600A W. Club,12/31/2014,
21 Signet,1/1/2015,3/2/2015
312-202 Buchanan,1/1/2015,
21 Signet,1/1/2015,
2704 Highland,1/8/2015,1/15/2015
2704 Highland,1/8/2015,1/15/2015
1004 Virgie,1/11/2015,1/15/2015
1004 Virgie,1/11/2015,1/15/2015
905-B Rosehill,1/18/2015,1/20/2015
903 N Duke,1/30/2015,2/1/2015
2815 Enfield Dr,1/31/2015,5/1/2015
213-B Bridgefield,1/31/2015,3/25/2015
1011 Moreene Rd #11,1/31/2015,3/5/2015
1409 Kirkwood,1/31/2015,2/1/2015
1409 Kirkwood,1/31/2015,2/1/2015
906 Rosehill,1/31/2015,
2815 Enfield Dr,1/31/2015,
4214-B Oran Ave,2/11/2015,4/30/2015
911A Rome,2/15/2015,2/24/2015
3920 Cole Mill,2/20/2015,2/27/2015
2215 Shoreham,2/28/2015,4/16/2015
905 Carolina,2/28/2015,4/10/2015
1113-2 Camden,2/28/2015,4/7/2015
819 Nancy,2/28/2015,4/1/2015
1201-4 Elizabeth St,2/28/2015,3/27/2015
3707 Crabtree,2/28/2015,3/1/2015
2215 Shoreham,2/28/2015,
1201-4 Elizabeth St,2/28/2015,
913-A Rosehill,3/15/2015,6/26/2015
1011-5 Morreene,3/15/2015,3/16/2015
846 Estes,3/16/2015,4/17/2015
925 Fleming,3/31/2015,6/2/2015
914 Hale,3/31/2015,4/10/2015
2410 Albany,3/31/2015,4/1/2015
1003-A Broad,3/31/2015,3/21/2015
1011-A Buchanan,4/8/2015,5/4/2015
1002-A Clarendon,4/29/2015,5/25/2015
312 N Buchanan #306,4/30/2015,5/15/2015
1603-B W Club,4/30/2015,5/11/2015
1008 Virgie,4/30/2015,5/8/2015
1823 James,5/1/2015,6/1/2015
100 W Mayard,5/3/2015,5/4/2015
1712 Roxboro,5/4/2015,
601 E Lavender,5/5/2015,5/5/2015
922-B Hale,5/9/2015,5/10/2015
801-B Green,5/13/2015,7/1/2015
312-408 Buchanan,5/16/2015,6/1/2015
312 N Buchanan #103,5/18/2015,5/29/2015
2501-B Chapel Hill,5/23/2015,7/1/2015
522 Andover,5/26/2015,5/29/2015
2105-4 Lafayette,5/31/2015,11/1/2015
1315C Ripley,5/31/2015,9/15/2015
312 N Buchanan #104,5/31/2015,8/1/2015
1011-29 Morreene Rd,5/31/2015,8/1/2015
1704 W Markham,5/31/2015,8/1/2015
1109-A Georgia,5/31/2015,8/1/2015
907FR Iredell,5/31/2015,8/1/2015
1318-B Marne,5/31/2015,7/27/2015
819 Burch,5/31/2015,7/15/2015
3311 Spector,5/31/2015,7/11/2015
1011 Moreene Rd #3,5/31/2015,7/10/2015
