PropertyAddress,MoveOut,MoveIn
218 Walsenburg,12/31/17,1/29/18
1800-A N. Alston,12/22/17,1/31/18
2806 Farthing,1/19/18,2/1/18
2501 Farthing,11/19/17,2/3/18
908-B Onslow,1/31/18,2/9/18
3411 Marquis,2/15/18,2/15/18
3814 Pendergrass,N/A,2/15/18
810-A Gerard St,1/31/18,2/16/18
12 Riverwalk,1/15/18,2/20/18
2105-3 Lafayette,1/1/18,2/21/18
2008 Englewood,2/27/18,2/28/18
1326-C Marne,11/10/17,3/1/18
105-B E Delafield,2/28/18,3/1/18
1800-B N Alston,2/28/18,3/1/18
907-Front Iredell,3/1/18,3/2/18
1326-D Marne,10/31/17,3/15/18
1015-B Clarendon,3/15/18,3/24/18
2306 W knox,3/23/18,3/24/18
2215 Shoreham,N/A,3/26/18
405 W Carver,N/A,3/28/18
2806 Shenandoah,N/A,3/29/18
1825 James,3/30/18,3/31/18
1832 Forest,3/31/18,4/1/18
1011-16 Morreene,12/31/17,4/2/18
911-A Rome,3/31/18,4/6/18
204 Markham #4,3/31/18,4/6/18
216 Basset Hall,N/A,4/13/18
802-1 Cleveland,N/A,4/15/18
300 W Lavender,1/31/18,4/20/18
4216 Alston,12/5/17,4/22/18
4100 Five Oaks #54,1/30/18,5/1/18
819 Burch,1/31/18,5/1/18
1115 Berkley St,N/A,5/1/18
1013-2 Ninth,12/21/17,5/3/18
2708-A Lawndale,N/A,5/4/18
1700 Ward,N/A,5/4/18
1008 Virgie,4/30/18,5/8/18
1009 Edith,5/9/18,5/10/18
1109-A Georgia,4/30/18,5/11/18
905-B Virgie,5/4/18,5/11/18
407-A Swift,N/A,5/11/18
2602 E Geer,N/A,5/11/18
916-B Alabama,N/A,5/11/18
3313 Specter,3/31/18,5/12/18
1802-A Alston,4/30/18,5/12/18
1003-B Broad,3/31/18,5/14/18
3 Meadowbrook,N/A,5/14/18
801-A Green,4/30/18,5/17/18
1001-A Carolina,5/12/18,5/18/18
409 Newsom,4/30/18,6/1/18
1011-4 Morreene,4/30/18,6/1/18
2105-1 LaFayette,5/4/18,6/1/18
1700 W Markham Down,5/25/18,6/1/18
13 Virginia Dare,5/31/18,6/1/18
102-B W Club,5/31/18,6/1/18
1013 Edith,5/31/18,6/1/18
1007 Ninth,5/31/18,6/1/18
1116-A Ninth,5/31/18,6/1/18
802-3 Cleveland ,N/A,6/1/18
802-2 Cleveland,N/A,6/1/18
822-A Green,N/A,6/4/18
1002-A Monmouth,5/31/18,6/5/18
2211-A W Knox,5/1/18,6/6/18
910-B Ninth,5/31/18,6/7/18
108-B W Club,5/31/18,6/8/18
1011-32 Moreene,5/31/18,6/8/18
429 Craven,5/31/18,6/8/18
1013-3 Ninth St,5/31/18,6/8/18
100B W Club,5/31/18,6/8/18
2908 Elgin,6/1/18,6/8/18
1012-A Ninth,5/31/18,6/9/18
1011-10 Morreene,6/10/18,6/12/18
101-A E Maynard,N/A,6/13/18
2420 Perkins,6/7/18,6/14/18
1021-A Carolina,4/30/18,6/15/18
914 Ninth,5/31/18,6/15/18
907-A Rome,5/31/18,6/15/18
2708 Lawndale,N/A,6/18/18
2105-4 LaFayette,6/2/18,6/21/18
1001 Edith,5/31/18,6/22/18
908 Hale ,6/17/18,6/22/18
1011-1 Ninth,5/31/18,6/23/18
1116-B Ninth,5/31/18,6/25/18
4721 High Meadow,3/31/18,6/30/18
1015-2 Ninth,5/31/18,7/1/18
1704 W Markham,5/31/18,7/1/18
2700 Lawndale,5/31/18,7/1/18
1001 Iredell,5/31/18,7/1/18
1019-A Ninth St,6/23/18,7/1/18
907-B Iredell,6/30/18,7/1/18
1620 N Duke St,N/A,7/1/18
1201 Marne,N/A,7/1/18
101 E Maynard,N/A,7/1/18
913-A Edith,4/30/18,7/3/18
911-A Rosehill,5/31/18,7/9/18
3019 Banner,6/30/18,7/9/18
1018 Ninth,5/31/18,7/13/18
822-B Green,7/7/18,7/13/18
2523 N. Roxboro,4/30/18,7/14/18
1021 Carolina,5/31/18,7/15/18
913-B Rosehill,5/31/18,7/15/18
1011 Edith St,6/30/18,7/15/18
2401 W Knox,6/30/18,7/15/18
2113 DOWN Englewood,7/14/18,7/15/18
116-B Edgewood,6/30/18,7/16/18
4418 Talcott,7/4/18,7/16/18
3903 Olde Coach,6/30/18,7/20/18
1011-A Buchanan,6/30/18,7/20/18
1019-B Ninth,6/30/18,7/20/18
2012 Stadium,7/8/18,7/20/18
1326 Welcome,7/15/18,7/20/18
1013-1 Ninth,6/30/18,7/21/18
102-A W Club,6/30/18,7/21/18
1021-A Carolina,7/7/18,7/24/18
44 Justin,6/30/18,7/25/18
213-B Bridgefield,6/30/18,7/25/18
108-A W Club Blvd,6/30/18,7/27/18
1011-28 Morreene,6/30/18,7/30/18
1007 River Forest,N/A,7/30/18
207-B Bridgefield,5/31/18,8/1/18
917 Hale,5/31/18,8/1/18
2504 H. Garage,6/20/18,8/1/18
2113 UP Englewood,6/30/18,8/1/18
910-A Ninth,6/30/18,8/1/18
1013-A Rosehill,6/30/18,8/1/18
810-A Gerard St,6/30/18,8/1/18
835-A Wilkerson ,7/6/18,8/1/18
2518-B Englewood,7/17/18,8/1/18
2403 W Knox,7/31/18,8/1/18
914 Hale,7/31/18,8/1/18
803-D Lancaster,7/31/18,8/1/18
119 Jennel Way,N/A,8/1/18
911-B Rosehill,7/26/18,8/3/18
104B W Club,N/A,8/4/18
2034 Englewood,7/31/18,8/7/18
1007.5 Rosehill,7/31/18,8/9/18
913-B Edith,7/31/18,8/10/18
1011-15 Morreene,7/31/18,8/10/18
1022 9th St,7/31/18,8/10/18
416-B Edwards St,7/31/18,8/10/18
2702 Elgin,7/31/18,8/10/18
1222 Nicklaus,7/31/18,8/10/18
835-B Wilkerson,7/31/18,8/10/18
924-A Alabama,7/31/18,8/10/18
6480 Guess Rd,7/31/18,8/10/18
2629 Lawndale,5/31/18,8/11/18
1011-11 Morreene,7/31/18,8/11/18
911-A Clarendon,7/31/18,8/11/18
1008 Hale,7/31/18,8/11/18
1002 Trinity Ave,7/31/18,8/13/18
913-A Rosehill,7/31/18,8/14/18
819 Green,7/31/18,8/15/18
133 W Cornwalls,N/A,8/15/18
1212 East Pointe,N/A,8/15/18
1605-A W Club,8/14/18,8/16/18
2707 Lawndale,7/31/18,8/17/18
1006 Virgie,7/31/18,8/19/18
1011-14 Morreene,7/31/18,8/20/18
912 Arnette,7/31/18,8/24/18
915 Hale St,8/20/18,8/24/18
904 Rome ,6/30/18,8/30/18
907-B Rome,8/20/18,8/31/18
3920 Cole Mill,8/31/18,9/8/18
905-A Virgie,8/31/18,9/8/18
116-A Edgewood,7/31/18,9/11/18
1011-8 Morreene,8/31/18,9/14/18
2204-B Englewood,9/20/18,9/20/18
1006-A Clarendon,5/31/18,9/27/18
2602 Bullock,7/31/18,10/1/18
2206-A Englewood,10/1/18,10/1/18
2402-A Stadium,7/31/18,10/5/18
2322 Charles,N/A,10/5/18
1714 N Roxboro,9/30/18,10/7/18
1010-A Ninth,5/31/18,10/10/18
1011-7 Morreene,9/30/18,10/11/18
916-A Alabama,N/A,10/12/18
908 Rome,4/30/18,10/15/18
1202 Marne,N/A,10/15/18
210 Brassy Creek,12/31/17,10/18/18
1600-A W Club,10/14/18,10/26/18
4853 Forest Highland,N/A,10/28/18
913-B Edith St,10/30/18,11/1/18
816 Northwood Hills,N/A,11/1/18
60 Justin Court,N/A,11/1/18
916-B Alabama,10/31/18,11/9/18
1211 Westview Lane Unit 107,N/A,11/9/18
1315-A Ripley,7/31/18,11/15/18
2113-A Peppertree,8/31/18,11/15/18
14 Braddock,N/A,11/15/18
1011-16 Morreene,10/28/18,11/16/18
1710 N Roxboro,11/15/18,11/16/18
2608 Shenandoah,10/23/18,12/1/18
104 W. Chestnut,N/A,12/1/18
805 Glendale,N/A,12/1/18
3619 C View,6/30/18,12/2/18
713 W Knox,12/5/18,12/6/18
1212 Clarendon,8/3/18,12/7/18
3614 Wishart St,12/14/18,12/15/18
922B Hale St,12/18/18,12/19/18
2008 Englewood,12/18/18,12/27/18
1708-A Englewood,11/17/18,1/1/19
1402 Lakewood,12/31/18,1/1/19
104 Hammond,?,?
27 Edgebrook,2/28/18,N/A
708 Lynn,3/31/18,N/A
507 Rollesby,5/1/18,N/A
1822 Piperwood,5/31/18,N/A
1201-2 N Elizabeth,6/30/18,N/A
2209 W Knox,7/8/18,N/A
1726 Vista,7/31/18,N/A
1803 Sassassfras,7/31/18,N/A
313 E Trinity,1/31/18,
3313 Specter,1/31/18,
4214-B Alston,2/28/18,
824-B Green,6/30/18,
711-B W Knox,6/30/18,
1110 Watts,6/30/18,
37 Forest Green,7/30/18,
1019 Green St,7/31/18,
309 Ganyard Farm,10/31/18,
709 Bolton,10/31/18,
4218 Alston,10/31/18,
810 Rosehill,11/1/18,
824-A Green,12/10/18,
1002-A Clarendon,12/20/18,1/11/19
2703 Lawndale,12/31/18,
635B W Club,12/31/18,
1011-21 Morreene,12/31/18,1/4/19
1315-C Ripley,12/31/18,
1622-A N. Duke St,1/31/19,
1604 Cheshire Bridge,2/15/19,
2707 Lawndale,7/31/19,
1005 Morning Glory,N/A,
1503 Virginia Ave,N/A,
109 W Main,1/2/19,
1708-A Englewood,1/2/19,
